team_id,team_display,week_start,week_end,games_current,HR_current,PA_current,HR_per_PA_current,games_prev,HR_prev,PA_prev,HR_per_PA_prev,delta_HR_per_PA,pct_change,surge_flag,rating
3,Team 3,1981-05-04,1981-05-10,6,6,239,0.0251,7,0,260,0.0,0.0251,,SURGE,Firestorm
4,Team 4,1981-05-04,1981-05-10,6,9,268,0.0336,7,3,274,0.0109,0.0226,2.0672,SURGE,Firestorm
14,Team 14,1981-05-04,1981-05-10,6,6,247,0.0243,7,1,258,0.0039,0.0204,5.2672,SURGE,Firestorm
23,Team 23,1981-05-04,1981-05-10,6,7,248,0.0282,7,3,252,0.0119,0.0163,1.371,SURGE,Firestorm
12,Team 12,1981-05-04,1981-05-10,6,9,238,0.0378,7,6,260,0.0231,0.0147,0.6387,SURGE,Heating Up
17,Team 17,1981-05-04,1981-05-10,6,3,208,0.0144,7,0,253,0.0,0.0144,,SURGE,Heating Up
15,Team 15,1981-05-04,1981-05-10,6,8,220,0.0364,7,6,267,0.0225,0.0139,0.6182,SURGE,Heating Up
8,Team 8,1981-05-04,1981-05-10,6,6,248,0.0242,7,4,302,0.0132,0.0109,0.8266,SURGE,Heating Up
21,Team 21,1981-05-04,1981-05-10,6,10,260,0.0385,7,8,273,0.0293,0.0092,0.3125,SURGE,Heating Up
6,Team 6,1981-05-04,1981-05-10,6,6,252,0.0238,7,4,270,0.0148,0.009,0.6071,SURGE,Heating Up
2,Team 2,1981-05-04,1981-05-10,6,1,215,0.0047,7,0,250,0.0,0.0047,,,
20,Team 20,1981-05-04,1981-05-10,6,5,241,0.0207,7,6,246,0.0244,-0.0036,-0.1494,,
24,Team 24,1981-05-04,1981-05-10,6,4,234,0.0171,7,7,321,0.0218,-0.0047,-0.2161,,
18,Team 18,1981-05-04,1981-05-10,6,1,195,0.0051,7,3,256,0.0117,-0.0066,-0.5624,OUTAGE,
22,Team 22,1981-05-04,1981-05-10,6,5,208,0.024,7,8,259,0.0309,-0.0068,-0.2218,OUTAGE,
9,Team 9,1981-05-04,1981-05-10,6,2,237,0.0084,7,4,253,0.0158,-0.0074,-0.4662,OUTAGE,
10,Team 10,1981-05-04,1981-05-10,6,6,254,0.0236,7,9,274,0.0328,-0.0092,-0.2808,OUTAGE,Cooling Off
16,Team 16,1981-05-04,1981-05-10,6,2,210,0.0095,7,5,259,0.0193,-0.0098,-0.5067,OUTAGE,Cooling Off
7,Team 7,1981-05-04,1981-05-10,6,1,224,0.0045,7,4,257,0.0156,-0.0111,-0.7132,OUTAGE,Cooling Off
13,Team 13,1981-05-04,1981-05-10,6,2,214,0.0093,7,6,292,0.0205,-0.0112,-0.5452,OUTAGE,Cooling Off
5,Team 5,1981-05-04,1981-05-10,6,3,258,0.0116,7,7,296,0.0236,-0.012,-0.5083,OUTAGE,Cooling Off
11,Team 11,1981-05-04,1981-05-10,6,3,208,0.0144,7,7,260,0.0269,-0.0125,-0.4643,OUTAGE,Cooling Off
19,Team 19,1981-05-04,1981-05-10,6,0,209,0.0,7,4,272,0.0147,-0.0147,-1.0,OUTAGE,Cooling Off
1,Team 1,1981-05-04,1981-05-10,6,4,231,0.0173,7,9,261,0.0345,-0.0172,-0.4978,OUTAGE,Blackout
